Účet,Transfery,Popis,Kategorie,Datum,Částka
Hotovost,,Úvodní bilance,Další příjmy,01/01/2013,3 697.00
Unicredit,,Úvodní bilance,,01/01/2013,0.00
Twisto,,Úvodní bilance,,01/01/2013,0.00
Revolut,,Úvodní bilance,,01/01/2013,0.00
Hotovost,,Buják - 2 Vína,Volný čas > Párty,15/07/2013,-50.00
Hotovost,,Bánov - Nivnice - Uherský Brod,"Doprava > Vlaky, autobusy a jiné",19/07/2013,-18.00
Hotovost,,Kupkofest - pivo a jídlo,Volný čas > Párty,20/07/2013,-297.00
Hotovost,,Bujak - 3 Vina,Volný čas > Párty,23/07/2013,-90.00
Hotovost,,Nákupy,Jídlo > Nákupy,25/07/2013,-149.00
Hotovost,,Nákupy,Jídlo > Nákupy,26/07/2013,-154.00
Hotovost,,Nákupy,Jídlo > Nákupy,27/07/2013,-152.00
Hotovost,,Bánov - Nivnice - Uherský Brod,"Doprava > Vlaky, autobusy a jiné",27/07/2013,-14.00
Hotovost,,"Zábava - hospody, koncerty",Volný čas > Párty,27/07/2013,-302.00
Hotovost,,Vino,Volný čas > Párty,28/07/2013,-150.00
Hotovost,,Nivnice - Kupko (2 Piva) Pro Petru,Volný čas > Párty,29/07/2013,-107.00
Hotovost,,Bánov - Nivnice - Uherský Brod,"Doprava > Vlaky, autobusy a jiné",29/07/2013,-28.00
Hotovost,,Petra - Dárek K Narozeninám,Dárky,30/07/2013,-363.00
Hotovost,,Brno Zapis,Doprava > MHD,30/07/2013,-80.00
Hotovost,,Vaňkovka,Jídlo > Restaurace,30/07/2013,-58.00
Hotovost,,Čaje,Jídlo > Nákupy,30/07/2013,-151.00
Hotovost,,Brno,"Doprava > Vlaky, autobusy a jiné",30/07/2013,-200.00
Hotovost,,Zlín - Zoo,"Doprava > Vlaky, autobusy a jiné",31/07/2013,-92.00
Hotovost,,Jídlo V Zoo,Jídlo > Restaurace,31/07/2013,-90.00
Hotovost,,Zoo - Vstup,Volný čas > Další,31/07/2013,-225.00
Hotovost,,Brod -Zlín,"Doprava > Vlaky, autobusy a jiné",31/07/2013,-112.00
Hotovost,,Mamka - Socialka,Další příjmy,01/08/2013,700.00
Hotovost,,"Zábava - hospody, koncerty",Volný čas > Párty,02/08/2013,-322.00
Hotovost,,"Miloš na víkend - Brod, Petanque",Volný čas > Párty,04/08/2013,-1 087.00
Hotovost,,Forbes,Rozvoj a vzdělání > Další,06/08/2013,-89.00
Hotovost,,Nová bilance,Další příjmy,06/08/2013,3 000.00
Hotovost,,Melvil - 4 Knihy,Rozvoj a vzdělání > Knihy,07/08/2013,-1 407.00
Hotovost,,Brno,"Doprava > Vlaky, autobusy a jiné",07/08/2013,-150.00
Hotovost,,Bánov - Nivnice - Uherský Brod,"Doprava > Vlaky, autobusy a jiné",07/08/2013,-28.00
Hotovost,,Nákup na grilovačku,Jídlo > Nákupy,09/08/2013,-180.00
Hotovost,,Babička - Brigáda 3 Dny,Dary,16/08/2013,1 000.00
Hotovost,,Loza Zábava,Volný čas > Párty,16/08/2013,-620.00
Hotovost,,Zlín - 2 Knihy Od Melvila,Rozvoj a vzdělání > Knihy,18/08/2013,-601.00
Hotovost,,Bánov - Nivnice - Uherský Brod,"Doprava > Vlaky, autobusy a jiné",22/08/2013,-28.00
Hotovost,,S Peti U Erika,Volný čas > Párty,23/08/2013,-240.00
Hotovost,,Bánov - Nivnice - Uherský Brod,"Doprava > Vlaky, autobusy a jiné",23/08/2013,-28.00
Hotovost,,Koncert Kupko,Volný čas > Párty,23/08/2013,-328.00
Hotovost,,Bánov - Nivnice - Uherský Brod,"Doprava > Vlaky, autobusy a jiné",27/08/2013,-28.00
Hotovost,,Mamka - Socialka,Další příjmy,28/08/2013,700.00
Hotovost,,"Zábava - hospody, koncerty",Volný čas > Párty,30/08/2013,-122.00
Hotovost,,Bánov - Nivnice - Uherský Brod,"Doprava > Vlaky, autobusy a jiné",04/09/2013,-28.00
Hotovost,,Nákupy,Jídlo > Nákupy,04/09/2013,-109.00
Hotovost,,Hradiště,"Doprava > Vlaky, autobusy a jiné",07/09/2013,-100.00
Hotovost,,Brno,Volný čas > Párty,09/09/2013,-150.00
Hotovost,,Slavnosti Hradiště,Jídlo > Restaurace,09/09/2013,-332.00
Hotovost,,Slavnosti Hradiště,Volný čas > Párty,09/09/2013,-700.00
Hotovost,,Nákupy,Jídlo > Nákupy,10/09/2013,-48.00
Hotovost,,Forbes,Rozvoj a vzdělání > Další,10/09/2013,-89.00
Hotovost,,Brno,"Doprava > Vlaky, autobusy a jiné",10/09/2013,-100.00
Hotovost,,"Sešit, Pero, Pouzdro",Rozvoj a vzdělání > Další,10/09/2013,-170.00
Hotovost,,Salinkarta,Doprava > MHD,10/09/2013,-715.00
Hotovost,,Oběd V Olomouci,Jídlo > Restaurace,12/09/2013,-37.00
Hotovost,,"Košile, Trička, Gate",Oblečení,12/09/2013,-1 684.00
Hotovost,,Oběd V Olomouci,Jídlo > Restaurace,12/09/2013,-138.00
Hotovost,,Boty,Oblečení,12/09/2013,-990.00
Hotovost,,Taťka - Dar Na Tašku,Dary,13/09/2013,2 000.00
Hotovost,,Od Babičky K Bc,Dary,15/09/2013,500.00
Hotovost,,U Bujaka,Volný čas > Párty,15/09/2013,-305.00
Hotovost,,Nákup Fixních Surovin Plus První Týden V Brne,Jídlo > Nákupy,15/09/2013,-777.00
Hotovost,,Taška Diesel,Oblečení,16/09/2013,-1 559.00
Hotovost,,Dopis Na Upc,Bydlení > Další,16/09/2013,-14.00
Hotovost,,S Davidem V Brně,Volný čas > Párty,16/09/2013,-175.00
Hotovost,,Brno-se Spolužákama,Volný čas > Párty,19/09/2013,-297.00
Hotovost,,Od Babičky K Bc,Dary,20/09/2013,500.00
Hotovost,,Mamka - Socialka,Další příjmy,20/09/2013,700.00
Hotovost,,Brno,"Doprava > Vlaky, autobusy a jiné",20/09/2013,-90.00
Hotovost,,Bánov - Nivnice - Uherský Brod,"Doprava > Vlaky, autobusy a jiné",22/09/2013,-28.00
Hotovost,,Snus,Volný čas > Cigarety a drogy,22/09/2013,-115.00
Hotovost,,Brno,"Doprava > Vlaky, autobusy a jiné",23/09/2013,-70.00
Hotovost,,Nákupy,Jídlo > Nákupy,23/09/2013,-80.00
Hotovost,,"Kartáček, Pasta",Hygienické potřeby,23/09/2013,-60.00
Hotovost,,Cimbal,Volný čas > Párty,26/09/2013,-466.00
Hotovost,,Dan Pivo,Volný čas > Párty,26/09/2013,-130.00
Hotovost,,Brno,"Doprava > Vlaky, autobusy a jiné",27/09/2013,-100.00
Hotovost,,Pizza,Jídlo > Restaurace,29/09/2013,-30.00
Hotovost,,Peťa Pujcka,Další příjmy,30/09/2013,500.00
Hotovost,,Pivo,Volný čas > Párty,30/09/2013,-400.00
Hotovost,,Víno Na Esf Kurzu,Volný čas > Párty,30/09/2013,-400.00
Hotovost,,Víno,Volný čas > Párty,30/09/2013,-30.00
Hotovost,,Cesta Na Kurz Esf,"Doprava > Vlaky, autobusy a jiné",30/09/2013,-56.00
Hotovost,,Nákupy,Jídlo > Nákupy,30/09/2013,-100.00
Hotovost,,Prodluzka,Majetek > Nábytek a vybavení,30/09/2013,-75.00
Hotovost,,Nákupy,Jídlo > Nákupy,01/10/2013,-20.00
Hotovost,,"Zábava - hospody, koncerty",Volný čas > Párty,04/10/2013,-514.00
Hotovost,,Brno,"Doprava > Vlaky, autobusy a jiné",04/10/2013,-50.00
Hotovost,,Vracení Dluhu Petře,Další výdaje,06/10/2013,-500.00
Hotovost,,"Zábava - hospody, koncerty",Volný čas > Párty,08/10/2013,-117.00
Hotovost,,Brno,"Doprava > Vlaky, autobusy a jiné",08/10/2013,-80.00
Hotovost,,Knihy,Rozvoj a vzdělání > Knihy,08/10/2013,-89.00
Hotovost,,Nákupy,Jídlo > Nákupy,08/10/2013,-254.00
Hotovost,,"Zábava - hospody, koncerty",Volný čas > Párty,09/10/2013,-200.00
Hotovost,,Bánov - Nivnice - Uherský Brod,"Doprava > Vlaky, autobusy a jiné",11/10/2013,-14.00
Hotovost,,Bánov - Nivnice - Uherský Brod,"Doprava > Vlaky, autobusy a jiné",11/10/2013,-34.00
Hotovost,,Nákupy,Jídlo > Nákupy,11/10/2013,-136.00
Hotovost,,Faval S Filipem,Volný čas > Párty,11/10/2013,-550.00
Hotovost,,Brno,"Doprava > Vlaky, autobusy a jiné",13/10/2013,-100.00
Hotovost,,Nákupy,Jídlo > Nákupy,13/10/2013,-75.00
Hotovost,,Burcakovy Pochod,Volný čas > Párty,13/10/2013,-200.00
Hotovost,,Mamka Alǐety,Další výdaje,13/10/2013,-2 000.00
Hotovost,,Venku,Volný čas > Párty,16/10/2013,-357.00
Hotovost,,"Zábava - hospody, koncerty",Volný čas > Párty,16/10/2013,-215.00
Hotovost,,Stravování venku,Jídlo > Restaurace,17/10/2013,-75.00
Hotovost,,Exkurze Pivovar,Volný čas > Kulturní akce,17/10/2013,-100.00
Hotovost,,Vino,Jídlo > Nákupy,20/10/2013,-120.00
Hotovost,,Vino,Volný čas > Párty,20/10/2013,-30.00
Hotovost,,Vino,Volný čas > Párty,20/10/2013,-20.00
Hotovost,,Brno,"Doprava > Vlaky, autobusy a jiné",22/10/2013,-100.00
Hotovost,,Mamka - Socialka,Další příjmy,22/10/2013,700.00
Hotovost,,Spunty,Hygienické potřeby,22/10/2013,-18.00
